Title,URL,Grade,Price
🔥 Loose Comics Plus CGC GRADED COMIC SPIDER-MAN MARVEL DC INDEPENDENT Lot 🔥,https://www.ebay.com/itm/285901514297?itmmeta=01J046BVTDZ56THRAT18AJVTCJ&hash=item42910ee639:g:dB4AAOSwFzhmZkU3&itmprp=enc%3AAQAJAAAAwLx56XEJP7Blz%2FdpbkseyyjVIFquyNhBfhVdVbDe0FnwEygE6b%2FBFVShsiwRicTBlKTkHNkWSMa1ocO0PfaJyxnOJShCE2KLTkWXjpLFOazPA7hQbJBNoSzEKCH53KjPGf5N8EcjhuPOSDK7Uy9TJW%2FKFtpYxsLlrZITpepcYfBskV2pPyyg5d2e3FFVw8OO39PDti2t6XSw4rPC6Il3ChGGwCQn05d4AHODkINDbGl4f8H3b3Fcc%2FzhTD92uWxp6w%3D%3D%7Ctkp%3ABk9SR6a9r4aBZA,Grade not specified,$3.25
Venom #28 CGC Graded 9.8 Marvel 2020 Kirkham Secret Variant Cover Comic Book.,https://www.ebay.com/itm/305321493474?itmmeta=01J046BVTDDQ6MK21NQV49RS3H&hash=item47169443e2:g:bTwAAOSwnexlgp-O&itmprp=enc%3AAQAJAAAA4E9EeGHh5SnFCDUpU0r5hxB8qqnwdcvzbm0RW6UEIbE66VV4Y3D3XQwoaMLsSRdgRkldqAxbDKjk5RNkWD%2BoF8Nzw2T7z%2B6HyJYOEpgkkt8qAp8G10YKu0wyhTOrUjWAMd3tqA2Bodxut9Qi%2BQ1TE6VE8yhvErfBEY6YKd4zQBxDmb5tdz1Pw95TGJa2q5FGIFjmknxORAZKjamr95yuWD%2F2WU6dBu9yXr%2Fi%2B3Cs7XEWmTLVQZjo4ZoTZKgxolkTTDmu%2FkF51OJxlUtCEgVl7958u34enh6wVnhfh4jMbui1%7Ctkp%3ABk9SR6a9r4aBZA,CGC 9.8,$89.02
"Venom: Lethal Protector #1 - Marvel Comics, 2/93 Graded CGC 8.5 - 4402325013",https://www.ebay.com/itm/235594940338?itmmeta=01J046BVTDPD2D548FGES2FB6M&hash=item36da8d7fb2:g:JlgAAOSwRfxmX~-P&itmprp=enc%3AAQAJAAAAwO3wqk4OvcBuQtFNuvLOuBDQKcWQODVMxY6vabFb80NuIwbJKX6QPHurLMxeHZF8Zl2RgBpbFlw8ODhRWWmCAI%2BnNhUfKcB0DRbDRv%2Fls2dkMFZojULtK%2FL3%2FY6lbdAIh%2BzjErVbFO5BSj0iCykNb3WCPt2nk3rBRbYfLu516D%2FAkcXckJmwVtN12vVCopmoddzwzAsrxLjGRhWyjmUvRNKpjpbQNiYs1ztz7OI1mIAEJQq8KzQESbQ46WarexvoUg%3D%3D%7Ctkp%3ABk9SR6i9r4aBZA,CGC 8.5,$29.99
Amazing Spider-Man # 378 (6/93) CGC Graded Comic Book 9.8 NM/M+ WP Venom Carnage,https://www.ebay.com/itm/305383536467?itmmeta=01J046BVTDCRFN4NEVW59JRESM&hash=item471a46f753:g:9esAAOSwk2xlvuUU&itmprp=enc%3AAQAJAAAAwADZekRKCuI6whE1pELQsBNYkpWUJkl4XK6VKlUByjmtnpcw2rgEN9jk54zRBzG1kihixgPAAAgY5z2Ghu8qcm7FhRC5EtqK9RTLeYMuIoZ8nNXHKqHd4nA2eWpgT134S9m6nP2%2FCX%2BFAw6PCphVlIbdI9DKGs425BiWA8q3Qt7OuQUdGmuSgneqi4MQgamOK7xoMGnKVKcKkQW72J1cFQePzHRYlZYZMz7cI9MOWFXNI1E67zBMa8CWrSYYJwrouQ%3D%3D%7Ctkp%3ABk9SR6i9r4aBZA,NM 9.8,$101.63
Venom: Lethal Protector # 6 (7/93) CGC Graded Comic Book 9.8 NM/ WP,https://www.ebay.com/itm/305029243897?itmmeta=01J046BVTDMWGFRK4VHYM1SK97&hash=item470528e3f9:g:TIMAAOSwNyNktZT4&itmprp=enc%3AAQAJAAAA4I0wyUYUatcR99We5cIUJJ%2Fzusr%2Bu3o3YPHg8YlTxa9H0FnylaByi%2Fyaa5YtIFHEjeNJXDvjKcIdOTkphQio%2Bue0nz2Rx0SWFBCa4vf92CtX%2B5GJgBm%2BCprE%2FkCGOiiwj4noWiKLPnCOgGnIiQJqHyqfJSDt1dz3NBwYEISiBtXaxa%2BI3dBe839tLogcA1iKJUgq2znqku8SJ%2FlmWnfLVy9KW75Mtb64ECrVIVNqE5earozi7JY1RWWC8JilCzbJGZrUCGjGRP5XZQ%2FmKzy9AtcUTvF56F4GDjkVKx1BqmiA%7Ctkp%3ABk9SR6i9r4aBZA,NM 9.8,$159.71
CGC Graded Complete Venom Lethal Protector Series #1 - #6 / 1st Solo Title 1993,https://www.ebay.com/itm/256532729520?itmmeta=01J046BVTD3177KSC4WGVKY588&hash=item3bba8aceb0:g:hXYAAOSwgfNl0rvj&itmprp=enc%3AAQAJAAAAwDkVsJq15KaFO3Bkpr%2BUiylG7Mv6rTZG1oJFA%2FPEsFlYrVVFHWe7t19Dreg%2BAdhj1nQKqkeFClhvctthcYIN%2FfL6wKGw9Ql3IpsmI8VtdvyGxBzE0s2mhweM%2Bkf1Xcyle15p0dvzcLaDfp8yQnbx4JA6m4C0USX2GVfBi3%2Bi4G%2FkdrnDlzECJbH7HFmJzaLzJGlFM7as8rsCPQG2f%2Boe1zsubhFkbQZrTfVtxYSlnciZIcHHgk9ozxK74Tv%2BrMRLjQ%3D%3D%7Ctkp%3ABk9SR6i9r4aBZA,Grade not specified,$419.99
VENOM #7 CBCS 9.8 GRADED (2018),https://www.ebay.com/itm/315365540102?itmmeta=01J046BVTDC5HC57TNM9HWBT2H&hash=item496d404106:g:aR4AAOSwHzhiiw8u&itmprp=enc%3AAQAJAAAAwBIjqFXDjFUUmzbSmOA6ZQSqVnUw0BYxHkeF%2FOAsxt9KgkuXFPvE8akODZGKWWbtaKNNuKGBaGPhEiUvcqpzHz%2FxiC1WOg6wSmPSo0e2JD6kCCB81MDHB7ChGIzHsNDIkw%2Fy%2FQVg%2FonI%2B1Nz0A0n3xCm7PZJA%2FYecrJhxKTtWsGafhjvlloin%2BegE0G5GvKYkBD%2BUyuKq%2FsoiGjmUgcXK78qvYZr52uI8MXKoojHYUtu6Ywe2gW%2FG0%2FnRix2XhtWXQ%3D%3D%7Ctkp%3ABk9SR6i9r4aBZA,G 9.8,$54.45
Amazing Spider-Man #300 CGC Graded Signed Todd McFarlane & David Michelinie,https://www.ebay.com/itm/256474258406?itmmeta=01J046BVTDWQ64BYG99F6381CD&hash=item3bb70e9be6:g:-A0AAOSweoFmFUfY&itmprp=enc%3AAQAJAAAAwMFlZjvmDVX5jWbn1yyxx4HFEAUz7KQaIovyqr1A3nn27ciEhvSuqfphraBuBr9MVPZZZ0t3cJ%2BqRj9895RdNuju44UfBGsZwdRsAjSllhEiTW4e6b%2FaucA5b8gO3vQRwHRvmQ5UKWMIgynrl1lCR8N%2F0WZt9pOwMI2VAn4cClmjgsZgZgz7DbG5t%2B9CKMW2XKR7FSh8V6ii0IfQ89cxzwlBQoW%2FkSK%2Fv1RxcNMzQzFbdZiI%2BuHBPTumrVhCiJDV6w%3D%3D%7Ctkp%3ABk9SR6i9r4aBZA,Grade not specified,$419.99
Venom Comic CBCS Graded 9.8 Stegman Variant #30 Signed Donny Cates! Loose Co￼mic,https://www.ebay.com/itm/334491917416?itmmeta=01J046BVTET4225ZZHBBCBX3T9&hash=item4de1459c68:g:30IAAOSwlHRiwPFG&itmprp=enc%3AAQAJAAAAwJOfpBWNVywDZ%2FV1emC9HZCGpDKbED2sOwH7vc97rCYWHfpbo14gKa37nafhamiasJfw8Ug9fuMsCP4%2F7AxRJPYK6K4WVAoT2sDHJGk9TwQADvYBgDShUzDz084G3LqUk3aPjpN6%2BB1Z8pW6whoP79bZfFDq2YBfY2uWY1h9hYfX9OdJ6cBB6V7%2FxAZ8mqoISnwmtvIvtgAJBKgAOBgqBoVrdp0rQuosAg1GIvjtM2bUh8UGGsxfucSfe%2FlyRbyDtw%3D%3D%7Ctkp%3ABk9SR6q9r4aBZA,Grade not specified,$60.00
"Venom: Furneral Pyre #1 - Marvel Comics, 8/93 Graded CGC 9.2 - 4402326011",https://www.ebay.com/itm/235599105654?itmmeta=01J046BVTEVEQGA8ZQ7978QYBH&hash=item36dacd0e76:g:5JcAAOSwsXFmZAU7&itmprp=enc%3AAQAJAAAAwJbmP6Rbhx1JYuLb6Ijt9ArV1TttCHSn77q3bqzr0AJ20Cly0ev8%2BcBc%2FmOGwurCtHoj9uCxu8hS%2FNqmSCSzF0ABTkgaWkgYAXnaPgnXRnom%2BxOlr1GhcqAyBUfNCw%2F7nXMOcd%2FshCrF%2Bxbvdc3ONO5dB7AWrTeiWQdsNaYmjy4zihGE3Van3R8FvIXprLN4k4zO8UnEnaT0TB%2FFrWQNgNg1S2tfRLsF7JubmyCCA9CavJsLekAi9UL1xXKky3CxyA%3D%3D%7Ctkp%3ABk9SR6q9r4aBZA,CGC 9.2,$35.99
